tier,symbol,company_name,sector,sector_etf,sector_change_pct,stock_vs_sector_pct,sector_vs_spy_pct,sector_status,sector_score,price,change_pct,score,base_score,ext_penalty,regime_penalty,risk_category,is_earnings_reaction,catalyst,momentum,execution,squeeze,strength,technical,participation,social,short_pct,float_M,days_to_cover,atr_pct,dollar_vol_M,market_cap_B,days_to_earnings,tags,intraday_score,intraday_last_price,price_source,price_updated_at,vwap,vwap_dist_pct,above_vwap,hod,lod,from_hod_pct,near_hod,intraday_volume,data_source,catalyst_label,catalyst_sentiment,catalyst_score,catalyst_headline,catalyst_source,catalyst_time,risk_flags,setup_bucket
1,STM,STMicroelectronics N.V.,Semiconductors,SMH,2.0,7.43,1.44,LEADING,4,63.415,9.43,73,51,0,0,NORMAL,False,0,3,18,0,15,12,3,0,1.73,637.6,1.3,4.35,845.3,56.34,—,Above VWAP · Upper range · Near HOD · Tight consolidation · $845M liq · ATR 4.4% (clean) · Clean price,18.0,63.415,Alpaca IEX,2026-05-13T19:59:00Z,62.4714,1.51,True,63.725,60.34,-0.49,True,1007079.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
1,LI,Li Auto Inc.,Automobiles,CARZ,2.23,4.6,1.67,LEADING,4,20.015,6.83,72,50,0,0,NORMAL,False,0,7,15,2,14,9,3,0,4.1100003,1153.1,8.2,2.92,55.9,20.43,—,Above VWAP · Upper range · Near HOD · Tight consolidation · $56M liq · ATR 2.9% (clean) · Clean price,18.0,20.015,Alpaca IEX,2026-05-13T19:59:00Z,19.7953,1.11,True,20.085,18.73,-0.35,True,425199.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
1,NOK,Nokia Corporation Sponsored,Technology,XLK,0.94,10.75,0.38,IMPROVING,2,14.92,11.69,71,58,0,0,NORMAL,False,0,6,18,0,15,12,0,7,1.2200001,4443.6,0.9,6.36,1719.7,82.12,—,📰 Company-specific news · Above VWAP extended · Upper range · Near HOD · Big move +11.7% · $1720M liq · ATR 6.4% (clean) · Clean price,11.0,14.92,Alpaca IEX,2026-05-13T20:13:00Z,14.2628,4.61,True,14.92,13.475,0.0,True,8950106.0,Yahoo + Alpaca IEX,Company-specific fresh news,NEUTRAL,0.0,What's Going On With Nokia Shares On Wednesday?,benzinga,2026-05-13T12:56:43Z,,POTENTIAL_MOVER
1,CYTK,"Cytokinetics, Incorporated",Healthcare,XLV,0.59,2.63,0.03,NEUTRAL,0,77.185,3.22,70,52,0,0,NORMAL,False,0,0,16,7,15,9,5,0,20.84,123.9,9.3,5.67,269.6,10.48,—,Above VWAP · Upper range · Near HOD · Tight consolidation · $270M liq · ATR 5.7% (clean) · Clean price,18.0,77.185,Alpaca IEX,2026-05-13T19:59:00Z,76.4817,0.92,True,77.345,74.49,-0.21,True,151290.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
1,AVT,"Avnet, Inc.",Technology,XLK,0.94,4.06,0.38,IMPROVING,2,86.26,5.01,69,49,0,0,NORMAL,False,0,3,18,3,15,10,0,0,9.4399996,81.3,5.1,3.23,127.1,7.07,—,Above VWAP · Upper range · Near HOD · Tight consolidation · $127M liq · ATR 3.2% (clean) · Clean price,18.0,86.26,Alpaca IEX,2026-05-13T19:59:00Z,85.417,0.99,True,86.32,83.5,-0.07,True,78617.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
2,WRBY,Warby Parker Inc.,Healthcare,XLV,0.59,5.12,0.03,NEUTRAL,0,28.52,5.71,63,47,0,0,NORMAL,False,0,3,15,2,14,9,4,0,11.229999,92.5,4.5,6.69,78.7,3.5,—,Above VWAP · Upper range · Near HOD · Consolidating · $79M liq · ATR 6.7% (clean) · Clean price,16.0,28.52,Alpaca IEX,2026-05-13T19:59:00Z,27.8614,2.36,True,28.53,26.505,-0.04,True,156596.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
2,GTX,Garrett Motion Inc.,Consumer Cyclical,XLY,0.36,5.66,-0.2,NEUTRAL,0,31.355,6.02,63,45,0,0,NORMAL,False,0,3,15,0,15,9,3,0,4.78,170.5,4.2,4.47,95.0,5.87,—,Above VWAP · Upper range · Near HOD · Tight consolidation · $95M liq · ATR 4.5% (clean) · Clean price,18.0,31.355,Alpaca IEX,2026-05-13T19:59:00Z,31.034,1.03,True,31.57,29.6,-0.68,True,409488.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
2,GEN,Gen Digital Inc.,Technology,XLK,0.94,4.73,0.38,IMPROVING,2,23.31,5.67,62,42,0,0,NORMAL,False,0,3,18,0,11,9,1,0,5.33,457.8,3.9,3.67,178.5,14.11,—,Above VWAP · Upper range · Near HOD · Tight consolidation · $179M liq · ATR 3.7% (clean) · Clean price,18.0,23.31,Alpaca IEX,2026-05-13T19:59:00Z,22.9983,1.36,True,23.38,22.105,-0.3,True,857178.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
2,IART,Integra LifeSciences Holdings C,Healthcare,XLV,0.59,7.62,0.03,NEUTRAL,0,14.91,8.21,61,45,0,0,NORMAL,False,0,3,10,6,14,9,3,0,16.530001,58.7,13.0,6.29,17.3,1.16,—,Above VWAP · Upper range · Near HOD · Consolidating · ATR 6.3% (clean) · Clean price · DTC 13.0d,16.0,14.91,Alpaca IEX,2026-05-13T19:59:00Z,14.672,1.62,True,14.91,13.705,0.0,True,91877.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
2,ETOR,eToro Group Ltd.,Financial Services,XLF,-1.11,10.9,-1.67,WEAK,-2,41.26,9.78,61,47,0,0,NORMAL,False,0,5,15,0,14,9,4,0,4.84,61.0,2.0,4.04,59.2,3.28,—,📰 Company-specific news · Above VWAP · Upper range · Near HOD · Consolidating · $59M liq · ATR 4.0% (clean) · Clean price,16.0,41.26,Alpaca IEX,2026-05-13T19:59:00Z,40.2629,2.48,True,41.3,37.51,-0.1,True,133460.0,Yahoo + Alpaca IEX,Company-specific fresh news,NEUTRAL,0.0,These Analysts Increase Their Forecasts On eToro Group After Strong Q1 Results,benzinga,2026-05-13T18:18:55Z,,POTENTIAL_MOVER
